Batch,BAIT_SET,BAIT_TERRITORY,BAIT_DESIGN_EFFICIENCY,ON_BAIT_BASES,NEAR_BAIT_BASES,OFF_BAIT_BASES,PCT_SELECTED_BASES,PCT_OFF_BAIT,ON_BAIT_VS_SELECTED,MEAN_BAIT_COVERAGE,PCT_USABLE_BASES_ON_BAIT,PCT_USABLE_BASES_ON_TARGET,FOLD_ENRICHMENT,HS_LIBRARY_SIZE,HS_PENALTY_10X,HS_PENALTY_20X,HS_PENALTY_30X,HS_PENALTY_40X,HS_PENALTY_50X,HS_PENALTY_100X,TARGET_TERRITORY,GENOME_SIZE,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_TARGET_BASES,PCT_PF_READS,PCT_PF_UQ_READS,PCT_PF_UQ_READS_ALIGNED,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,MIN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_ADAPTER,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_TARGET_BASES_40X,PCT_TARGET_BASES_50X,PCT_TARGET_BASES_100X,PCT_TARGET_BASES_250X,PCT_TARGET_BASES_500X,PCT_TARGET_BASES_1000X,PCT_TARGET_BASES_2500X,PCT_TARGET_BASES_5000X,PCT_TARGET_BASES_10000X,PCT_TARGET_BASES_25000X,PCT_TARGET_BASES_50000X,PCT_TARGET_BASES_100000X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
1,deidentified,1005939,0.872637,1901007099,868874770,2961075926,0.483319,0.516681,0.686313,1889.783674,0.318424,0.135616,1034.479113,11643669,27.5031,27.921434,28.395546,28.925436,29.44417,32.456177,877820,3137161264,39536750,39536750,5970049250,28739631,28575562,5730957795,4154224977,809635815,1,0.726909,0.994291,922.325551,200,3969,0,0.032523,0.275126,0,0.02009,0.046081,0.071133,0.446307,5.270432,0.93716,0.923883,0.902997,0.893026,0.886035,0.879587,0.873317,0.845139,0.757552,0.622306,0.414099,0.028736,0,0,0,0,0,2.601968,19.882209,0.919768,11,NA,NA,NA
1,deidentified,1005939,0.872637,1841732340,813901135,2893957769,0.478528,0.521472,0.693519,1830.858869,0.317645,0.131722,1034.977041,10845102,26.822118,27.270315,27.718512,28.2482,28.794185,31.858223,877820,3137161264,38397848,38397848,5798075048,27800139,27624592,5549591244,4004884116,763732775,1,0.724003,0.993685,870.033464,200,3128,0,0.029566,0.278346,0,0.021237,0.044515,0.080269,0.438026,5.029095,0.936374,0.92346,0.902002,0.893251,0.885797,0.878687,0.872656,0.845147,0.754183,0.619249,0.396848,0.011796,0,0,0,0,0,2.609573,19.23716,0.919507,11,NA,NA,NA
1,deidentified,1005939,0.872637,1870457811,823265391,2889874520,0.482435,0.517565,0.694376,1859.414747,0.320904,0.132011,1044.717798,10937520,28.219047,28.71034,29.242574,29.81575,30.421678,33.893484,877820,3137161264,38600806,38600806,5828721706,27853808,27681381,5583597722,4015709672,769455188,1,0.721586,0.99381,876.552355,200,3225,0,0.03318,0.280802,0,0.021272,0.044468,0.081938,0.433726,5.312439,0.933044,0.919618,0.899522,0.889901,0.882439,0.875605,0.869136,0.841196,0.748609,0.614158,0.398823,0.015747,0,0,0,0,0,2.777163,19.891752,0.91645,11,NA,NA,NA
1,deidentified,1005939,0.872637,1613967737,750478595,2774977583,0.460061,0.539939,0.682599,1604.438974,0.300206,0.130561,979.367315,10829678,26.685581,27.135291,27.585001,28.034712,28.574364,31.512472,877820,3137161264,35603978,35603978,5376200678,26594736,26428872,5139423915,3828023435,701921164,1,0.74696,0.993763,799.61856,200,2819,0,0.032194,0.255165,0,0.02186,0.050987,0.075393,0.460032,4.816979,0.934393,0.922494,0.90317,0.892978,0.88568,0.878745,0.872849,0.84361,0.746053,0.601601,0.363142,0.002064,0,0,0,0,0,2.612245,19.29265,0.919218,11,NA,NA,NA
1,deidentified,1005939,0.872637,2010739402,946937355,3656261574,0.447188,0.552812,0.679837,1998.868124,0.289929,0.123662,948.114624,12032591,27.696782,28.087394,28.526834,28.966273,29.425243,32.003287,877820,3137161264,45928954,45928954,6935272054,33376633,33154165,6613938331,4791729192,857631683,1,0.726701,0.993335,977.001758,200,5806,0,0.037779,0.27551,0,0.021479,0.055047,0.073337,0.444967,4.885009,0.934361,0.920307,0.901563,0.892541,0.88625,0.88058,0.875672,0.85374,0.780771,0.659317,0.440062,0.042655,0.000124,0,0,0,0,2.799871,17.061363,0.917658,11,NA,NA,NA
1,deidentified,1005939,0.872637,1701569489,784161053,2870551940,0.464078,0.535922,0.684535,1691.523531,0.304072,0.128664,990.721105,10404827,27.43236,27.902461,28.424796,28.999363,29.532144,32.916871,877820,3137161264,37059200,37059200,5595939200,26954627,26781691,5356282482,3883542555,719996528,1,0.72734,0.993584,820.209756,200,2939,0,0.031209,0.274956,0,0.021804,0.04362,0.075326,0.449885,5.001279,0.93533,0.922305,0.901716,0.892531,0.885106,0.87801,0.871927,0.842967,0.744928,0.604575,0.374749,0.004452,0,0,0,0,0,2.699557,19.684359,0.918964,11,NA,NA,NA
1,deidentified,1005939,0.872637,2026988793,893113956,3058199408,0.48845,0.51155,0.69415,2015.02158,0.324447,0.133552,1057.398485,12418503,27.017957,27.412415,27.87992,28.288988,28.779868,31.44465,877820,3137161264,41374298,41374298,6247518998,30320756,30135919,5978302157,4369151301,834367899,1,0.73284,0.993904,950.499987,200,22778,0,0.032523,0.269165,0,0.020232,0.045554,0.080705,0.444789,5.082888,0.932049,0.919671,0.900563,0.890883,0.884038,0.877572,0.871723,0.844401,0.766405,0.623438,0.388248,0.050385,0.002706,0.001326,0,0,0,2.19901,15.958503,0.916697,11,NA,NA,NA
1,deidentified,1005939,0.872637,1552341304,827230437,2747448996,0.464124,0.535876,0.652362,1543.176379,0.290275,0.133847,944.250747,10894024,26.862198,27.312134,27.749571,28.2495,28.729431,31.729003,877820,3137161264,35416094,35416094,5347830194,26520741,26373810,5127020737,3829075509,715790061,1,0.748833,0.99446,815.417809,200,2842,0,0.032194,0.253158,0,0.020801,0.061769,0.041684,0.482983,4.941926,0.936601,0.924017,0.905383,0.895385,0.887847,0.881018,0.874266,0.843728,0.741937,0.603907,0.37598,0.002773,0,0,0,0,0,2.470009,20.134771,0.920972,11,NA,NA,NA
2,deidentified,1005939,0.872637,2261388360,630505698,3599693439,0.445483,0.554517,0.781975,2248.037267,0.317833,0.08597,1086.399195,10634335,36.105768,36.873095,37.708628,38.561214,39.52293,45.252302,877820,3137161264,47119336,47119336,7115019736,34760706,34505400,6491587497,4751886578,611680967,1,0.737716,0.992655,696.818217,200,2166,0,0.028909,0.267993,0,0.025968,0.036467,0.249006,0.326384,4.554367,0.934841,0.920236,0.895591,0.883935,0.874731,0.867506,0.860773,0.830393,0.745483,0.608169,0.310039,0,0,0,0,0,0,1.369141,13.915034,0.918245,11,NA,NA,NA
2,deidentified,1005939,0.872637,1920246623,562701632,3236724824,0.434107,0.565893,0.773374,1908.909609,0.301746,0.099726,1047.010415,12354658,34.459171,35.13132,35.775462,36.475617,37.231785,41.667966,877820,3137161264,42144204,42144204,6363774804,33165912,32926618,5719673079,4491917881,634632890,1,0.786963,0.992785,722.964719,200,3316,0,0.032852,0.214655,1.00E-06,0.029933,0.042188,0.237142,0.365165,4.787846,0.931969,0.917236,0.890938,0.879688,0.871249,0.864586,0.858047,0.830605,0.745587,0.608768,0.313778,0.001438,0,0,0,0,0,1.000171,13.270528,0.908436,10,NA,NA,NA
